variable,n,missing,mean,std,min,p25,median,p75,max
listen_score,500,0,75.52000000,4.58711238,70.00000000,72.00000000,74.00000000,78.00000000,97.00000000
audio_length_seconds,500,0,3233.89400000,1708.36359209,285.00000000,2097.50000000,2950.00000000,3888.75000000,17003.00000000
update_frequency_hours,499,1,380.70741483,1321.91126986,1.00000000,81.00000000,156.00000000,184.00000000,21834.00000000
